100,Code Innovators,UM,Web Development,,5,2,1,5,4
101,Cyber Titans,UTM,Cybersecurity,,2,4,5,5,2
102,AI Vision,UKM,Artificial Intelligence,,4,4,2,2,4
103,Data Pioneers,USM,Data Science,,1,4,5,5,5
104,Quantum Hackers,UMS,Cybersecurity,,5,4,4,2,4
105,Web Masters,UiTM,Web Development,,2,3,5,5,4
106,Pixel Coders,MMU,Mobile Applications,,4,2,4,3,3
107,Smart Solutions,UMK,Artificial Intelligence,,4,4,4,2,3
108,Code Dreamers,USIM,Mobile Applications,,5,3,5,3,4
109,Tech Visionaries,UUM,Artificial Intelligence,,3,2,4,4,3
110,Secure Minds,UNITEN,Cybersecurity,,3,5,3,3,5
111,Cloud Ninjas,UTP,Cloud Computing,,3,3,3,4,3
112,Byte Force,IIUM,Web Development,,1,4,4,2,1
113,Algo Masters,UMT,Artificial Intelligence,,2,3,3,5,5
114,Code Warriors,UPM,Web Development,,2,3,5,2,4
115,Green Techies,USIM,Sustainability Tech,,4,3,4,5,2
116,Digital Pioneers,USM,Mobile Applications,,3,4,5,5,4
117,NextGen Coders,UMS,Cybersecurity,,4,4,4,3,5
118,App Gurus,UiTM,Mobile Applications,,5,5,2,4,4
119,Vision Coders,UKM,Artificial Intelligence,,5,2,5,4,5
